Name,Id,Parent,NodeType,Description,Icon,Panel,Hostname,Protocol,PuttySession,Port,ConnectToConsole,UseCredSsp,RenderingEngine,ICAEncryptionStrength,RDPAuthenticationLevel,LoadBalanceInfo,Colors,Resolution,AutomaticResize,DisplayWallpaper,DisplayThemes,EnableFontSmoothing,EnableDesktopComposition,CacheBitmaps,RedirectDiskDrives,RedirectPorts,RedirectPrinters,RedirectSmartCards,RedirectSound,RedirectKeys,PreExtApp,PostExtApp,MacAddress,UserField,ExtApp,VNCCompression,VNCEncoding,VNCAuthMode,VNCProxyType,VNCProxyIP,VNCProxyPort,VNCProxyUsername,VNCProxyPassword,VNCColors,VNCSmartSizeMode,VNCViewOnly,RDGatewayUsageMethod,RDGatewayHostname,RDGatewayUseConnectionCredentials,RDGatewayUsername,RDGatewayPassword,RDGatewayDomain,Column1
Site: US,,,Container,This is my North American Site,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
Site: UK,,,Container,This is my UK Site,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK: Domain Controllers,,Site: UK,Container,UK Domain controllers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US: Domain Controllers,,Site: US,Container,US Domain controllers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US: Application Servers,,Site: US,Container,US App servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK: Exchange Servers,,Site: UK,Container,UK Exchange servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US: ADSync Servers,,Site: US,Container,US ADSync servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US: File Servers,,Site: US,Container,US File servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK: File Servers,,Site: UK,Container,UK File servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US: RDS Servers,,Site: US,Container,US RD Servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK: RDS Servers,,Site: UK,Container,UK RD Servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
